Program Name,Entry Threshold,Duration (Domestic),Duration (International),Indicative Fees,QTAC Code,Start Semester,Career Outcomes,Location,Duration,Indicative fees,Indicative 2025 fees (A$),QTAC code,Start,You might also like...,Learn everything you need to know out in the field,In the news,CRICOS code,Entry threshold,Skip the loading screens and get your career started,Find your path to university,Ready for a change?,In high school?,Tech skills in-demand all over the world,"Study crime, justice and the law for a rewarding career",Undergraduate degree,Double degree,Honours,Associate degrees,Diplomas,Gain practical skills amongst the elite,Be in-demand with a health degree from QLD's No.1 public university for skills development*.,Jump into one of the fastest growing employment sectors,The benefits,Common questions,Business graduates are in high demand worldwide,Be taught by the best,"Just like engineers, at UniSC we make things happen",Immerse yourself,Sustainability is at the heart of everything we do,Master your skills as a nurse or midwife,Become a creative and critical thinker,Why study Arts?,There's never been a more relevant time to study psychology and social sciences,At UniSC we live and breathe sustainability
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,"Gain credit towards a UniSC degreeEase your study load by up to four courses (maximum of one course per semester) when you enrol in a related UniSC program after high school. This means, you'll have fewer subjects to complete to get your degree.Prepare for universityWhen you enrol in your university degree you'll be well prepared having already completed study at this level.Plus, you'll have made connections with UniSC's support services, staff and students - which means you've already hit the ground running toward success at university.Save moneyUniSC subsidises the cost of Headstart, decreasing the overall cost of your degree. Your first subject is free, and further subjects at a reduced rate.If you choose to study more than one Headstart subject, the fee is $400 per additional subject.Scholarshipsare available to eligible applicants to cover this tuition fee.Broaden your educationYou can select aHeadstart subjectin an area not offered by your school, that extends on your favourite subject at school, or use it as an opportunity to try out future career choices.Enhance your school performanceYou'll gain transferable skills to support your high school studies, like critical thinking, writing and research. You'll also have access to extra study resources.Gain QCE pointsCompleted university courses can contribute toward your QCE. One semester counts for 2 credits.*^* The required standard of achievement is a grade of 4 on a 7-point scale, or a Pass grade.^ Headstart does not contribute points towards other state senior certificates.Adjustment factorsStudents who successfully complete a UniSC Headstart course will receive a subject bonus adjustment (1 rank per course) to be applied to theirATAR or Selection rankunder theAccess UniSCscheme.**Exception: Access UniSC adjustments do not apply to the Bachelor of Medical Science.","When can I study Headstart?Headstart is available to study in Semester 1 and Semester 2. Year 10 students can only study Headstart in Semester 2. Each subject is taught over 13 weeks of classes followed by a two-week exam period (from February to June in Semester 1, and from July to November in Semester 2).How much does Headstart cost?Your first Headstart subject is free for domestic students. Additional subjects have a reduced fee ($400 in 2022; refer tousc.edu.au/feesfor 2023/2024 amount).You should allow approximately an additional $100 per course for textbooks, photocopying and any other study-related costs.What Headstart subjects can I study?There are over 90 Headstart subjects to study across all of our study areas. Viewavailable courses.Where can I study Headstart?Headstart courses are available at all of our campuses and online. Make sure you check the subject you want to study is available at the location you’d like to study at, in the semester you’d like to study in.Am I eligible for Headstart?To apply for Headstart you must:be an Australian citizen, New Zealand citizen or Australian permanent resident (ie domestic student). International students should speak with their school’s Headstart Coordinator about their eligibility for the programbe completing a full workload of Year 10, 11 or 12. Year 10 students can only enrol in Headstart during Semester 2 (July)be achieving a B grade average or better*meet any prerequisites applicable to your chosen coursehave approval and a positive recommendation from your school* Special circumstances may be considered on a case-by-case basis. Your school must attach a written statement outlining a case for consideration.How much time will I need to dedicate to Headstart?Generally, Headstart students have 2–5 hours of class time per week. Check your course outline online to see how often you may need to head to campus or log in to a class.You’ll need to set aside 12.5 hours per week for personal study (including class time). You will have online learning materials to guide your learning during your personal study. This might include eModules, quizzes, podcasts or videos to review. This time is when you’ll complete set readings, write your assignments and revise for exams. This is in addition to your regular school study.How do I create my class timetable?When timetables are released (approximately six weeks prior to the start of eachstudy period), you’ll need to select your preferred class times. You will receive instructions on how to submit your class preference form in your enrolment and Orientation information.UniSC will make every effort to enrol you in your preferred classes, but it’s good to have back-up options in case your preferred times are not available.How do I know if my Headstart application has been successful?If your application is successful, UniSC will email you an official offer that includes instructions to complete your enrolment. Remember to check your email account regularly and throughout any school holidays so you don’t miss your offer.What support is available to Headstart students?You’ll also have access to UniSC’sstudent support services, and staff are on hand if you have questions.Support services include:Career advice, including one-on-one appointments with the UniSC Career Development TeamAcademic skills workshops, study drop-ins and one-on-one sessions with an academic skills adviserIndigenous academic mentoring and servicesHealth and wellbeing services, including free counselling sessionsWhat should I do if I need to withdraw from Headstart?If you’ve decided that Headstart is not working out and you’d like to withdraw from your subject, speak with your school’s Headstart Coordinator and then notify UniSC Student Central via email tostudentcentral@usc.edu.au.It’s important to formally withdraw from your subject beforethe academic penalty dateto avoid receiving an ‘F’ on your UniSC transcript. Withdrawing from a Headstart subject prior to the census date will not affect your GPA at UniSC.What student systems will I be using when I begin my studies at UniSC?The key systems you need to know about when you begin your Headstart subject, include:Student PortalThe Student Portal has everything you need, in one place. Once you’re enrolled in your Headstart course you can access student systems, services and support, class timetables, upcoming events, and the latest student news via your Student Portal.CanvasAccess all your course learning materials, assessment details, discussions groups and more.USC CentralViewyour enrolment, class timetable and personal details.LibrarySearch the UniSC catalogue and databases, and find information and resources for your studies.Sonia OnlineManage your work experience placement (or fieldwork) including mandatory requirements like Blue Card, immunisations and insurance.Student emailAccess your UniSC student email and calendar.Student HubBook appointments, workshops and events and search for jobs.",,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,Business and commerce at UniSC,,,,,,,,,,,,,,,,,,,"Careers with a business or commerce degree are often diverse, well paid and relevant to nearly every aspect of modern human society.Business graduates are in high demand worldwide. And the best part? UniSC graduates in this field tend to have higher starting salaries than the Queensland average.* Study with the top ranked public university in Australia for teaching quality, overall experience and postgraduate skills development**.Learn how to develop products and services, identify and analyse markets, and think creatively and critically to solve business problems. Build practical skills through real client projects and a hands-on business internship, and graduate with a strong foundation in management, strategy and communication.*Quality Indicators for Learning and Teaching (QILT) Graduate Outcomes Survey 2022**Good Universities Guide 2023/24",,,,,,,,,
Bachelor ofBehavioural Science (Psychology)  / Counselling,55.00,4 years,4 years,"A$10,272 - 2025 Fees",011241,Semester 1,N/A,{{ vm.location }}Sunshine CoastMoreton Bay,4 years4 yearsFull-time or equivalent part-timeOnly a full-time option is available to international students on a Student visa.  Online programs are not available to Student visa holders.,"A$10,272 - 2025 FeesCSP","A$10,272 - 2025 FeesCSP",011241014341,Semester 1Semester 1,"Undergraduate Certificate inCommunity ServicesSunshine Coast,Moreton Bay6 monthsfull time or equivalent part-timeCareer outcomesSocial services, Human services, Counselling, Social Work, Criminology and JusticeDiploma inSocial and Human ServicesSunshine Coast,Moreton Bay,Fraser Coast,Gympie,Caboolture1 yearfull time or equivalent part-timeCareer outcomesDisability support, Community health, Research, Telephone counselling, Working with individuals, Families and groups, Non-government organisations, Government departments, Youth work, Welfare work, Child protection, Corrections, Aged services, Community development, Education, Mental health, Administration of counselling servicesBachelor ofCounsellingSunshine Coast,Moreton Bay3 yearsfull time or equivalent part-timeCareer outcomesCounsellor, Aged services, Child protection, Addiction Services, Disability services, Families and groups, Mental health, Range of human servicesBachelor ofBehavioural Science (Psychology)  / Criminology and JusticeSunshine Coast,Moreton Bay4 yearsfull time or equivalent part-timeCareer outcomesChild safety officer, Community corrections officer, Crime victim support services, Criminal justice advocate, Criminal justice policy officer, Criminologist/crime researcher, Custodial corrections officer, Customs and border protection officer, Disability support officer, Human resource manager, Intelligence, Law enforcement, Probation and parole officer, Security/intelligence analyst, Youth support officerMaster ofSocial Work by ResearchSunshine Coast,Fraser Coast,Gympie,Caboolture,Moreton Bay2 yearsfull time or equivalent part-timeCareer outcomesHealth, Mental health, Disability, Schools, Policy development, Child protection",,,110839D,55.0055.00ATAR/Rank,,,,,,,,,,,,,,,,,,,,,,,,,,
Bachelor ofLaws  / Commerce (Accounting),70.00,5 years,5 years,"A$16,032 - 2025 Fees",018261,Semester 1,N/A,{{ vm.location }}Sunshine CoastMoreton BayOnline,5 years5 yearsFull-time or equivalent part-timeOnly a full-time option is available to international students on a Student visa.  Online programs are not available to Student visa holders.,"A$16,032 - 2025 FeesCSP","A$16,032 - 2025 FeesCSP",018261014816015095,Semester 1Semester 2Semester 1Semester 2Semester 1Semester 2,"Undergraduate Certificate inLegal StudiesSunshine Coast6 monthsfull time or equivalent part-timeCareer outcomesA first step to Paralegal work, Law administration, Law enforcement, Corrections, Youth justiceDiploma inBusiness InnovationSunshine Coast,Moreton Bay,Online,Caboolture1 yearfull time or equivalent part-timeCareer outcomesBusiness administration, Digital futures, Economics and finance, Human resource management, Marketing, Small business management, Tourism, Leisure, Event managementBachelor ofLaws  / BusinessSunshine Coast,Moreton Bay,Online5 yearsfull time or equivalent part-timeCareer outcomesIn-house counsel, Solicitor, Barrister, Government legal officer, Business administration, Contracts officerMaster ofProfessional Accounting MPAMoreton Bay2 yearsfull time or equivalent part-timeCareer outcomesChief Financial Officer, Senior Business Strategist, Chartered Accountant, Key professional in the fast-growing wealth management sectorBachelor ofLawsSunshine Coast,Moreton Bay,Online3 yearsfull time or equivalent part-timeCareer outcomesSolicitor, Barrister, Government legal officer, Judge's associate, Corporate in-house counsel, Business and public service administration",,,081024K,70.0070.0070.00ATAR/Rank,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,Education at UniSC,,,,,,,,,,,,,,,,,,,,"We're rated five stars for teaching quality*, and have been for 18 consecutive years. And, we're the top ranked public university in Queensland for teaching, student support and overall experience.*As an educator, you'll work to inspire younger generations to continue making the world a better place. But before that, our educators will do their best to inspire you. We'll support you throughout your studies to hone your skills in the classroom, while developing you as a future leader in education.*Good Universities Guide 2023/24",,,,,,,,
Bachelor ofArts  / Science,50.00,4 years,4 years,"A$13,152 - 2025 Fees",014001,Semester 1,N/A,{{ vm.location }}Sunshine Coast,4 years4 yearsFull-time or equivalent part-timeOnly a full-time option is available to international students on a Student visa.  Online programs are not available to Student visa holders.,"A$13,152 - 2025 FeesCSP","A$13,152 - 2025 FeesCSP",014001,Semester 1Semester 2,"Bachelor ofArtsSunshine Coast,Moreton Bay,Online3 yearsfull time or equivalent part-timeCareer outcomesResearcher, Publisher, Editor, Sociologist, Geographer, Historian, Policy officer, Government / development professional, Media and communications professional, WriterBachelor ofArts  / BusinessSunshine Coast,Moreton Bay,Online4 yearsfull time or equivalent part-timeCareer outcomesBusiness manager, Entrepreneur, Marketing coordinator, Communications professional, Researcher, Editor, Sociologist, Geographer, Historian, Policy officer, WriterMaster ofArtsSunshine Coast,Fraser Coast,Gympie,Caboolture,Moreton Bay2 yearsfull time or equivalent part-timeCareer outcomesCommunication and media studies, Creative arts, Mental health and wellbeing, Society and culture, Environment and sustainability, Management and business, LawBachelor ofScienceSunshine Coast,Moreton Bay3 yearsfull time or equivalent part-timeCareer outcomesEducation, Research, Industry/government",,,022808M,50.00ATAR/Rank,,,,,,,,,,,,,,,,,,,,,,,,,,
Diploma inBusiness,50.00,1 year,1 year,"A$16,992 - 2025 Fees",014205,Semester 1,N/A,{{ vm.location }}Moreton BaySunshine CoastOnline,1 year1 yearFull-time or equivalent part-timeOnly a full-time option is available to international students on a Student visa.  Online programs are not available to Student visa holders.,"A$16,992 - 2025 FeesCSP","A$16,992 - 2025 FeesCSP",014205012205015205,Semester 1Semester 2Semester 1Semester 2Semester 1Semester 2,"Undergraduate Certificate inDigital BusinessMoreton Bay,Online6 monthsfull time or equivalent part-timeCareer outcomesDigital specialist, Social media manager, Website developer, Digital business managerDiploma inBusiness InnovationSunshine Coast,Moreton Bay,Online,Caboolture1 yearfull time or equivalent part-timeCareer outcomesBusiness administration, Digital futures, Economics and finance, Human resource management, Marketing, Small business management, Tourism, Leisure, Event managementBachelor ofBusinessSunshine Coast,Moreton Bay,Online3 yearsfull time or equivalent part-timeCareer outcomesAcademia, Government positions, Corporate positions, Consultancy, Business management, Human resource management, Marketing management, Market research, International business, Computing, Systems analysisBachelor ofBusiness  / CommunicationSunshine Coast,Moreton Bay,Online4 yearsfull time or equivalent part-timeCareer outcomesSocial media manager, Advertising executive, Content strategist, Creative director, Public relations officer, Copywriter, Marketing coordinator, Corporate communications office, Entrepreneur, Innovation managerMaster ofBusiness Administration MBASunshine Coast,Online1.5 yearsfull time or equivalent part-timeCareer outcomesChief Executive Officer, Chief Operating Officer, Chief Financial Officer, General Manager, Senior Project Manager, Account Executive, High level management roles",,,084894F,50.0050.0050.00ATAR/Rank,,,,,,,,,,,,,,,,,,,,,,,,,,
Bachelor ofPhysiotherapy (Honours),TBA*,4 years,4 years,"A$10,272 - 2025 Fees",014022,Semester 1,N/A,{{ vm.location }}Sunshine Coast,4 years4 yearsFull-time onlyOnly a full-time option is available to international students on a Student visa.  Online programs are not available to Student visa holders.,"A$10,272 - 2025 FeesCSP","A$10,272 - 2025 FeesCSP",014022,Semester 1,,,,,TBA*ATAR/Rank,,,,,,,,,,,,,,,,,,,,,,,,,,
Diploma inScience and Technology,N/A,1 year,1 year,"A$10,272 - 2025 Fees",013181,Semester 1,N/A,{{ vm.location }}Sunshine CoastMoreton Bay,1 year1 yearFull-time or equivalent part-timeOnly a full-time option is available to international students on a Student visa.  Online programs are not available to Student visa holders.,"A$10,272 - 2025 FeesCSP","A$10,272 - 2025 FeesCSP",013181014171,Semester 1Semester 2Semester 1Semester 2,"Undergraduate Certificate inEngineering DesignSunshine Coast,Moreton Bay6 monthsfull time or equivalent part-timeCareer outcomesWith further study – Civil engineer, Electrical and Electronic engineer, Merchanical engineer, Mechatronic engineerDiploma inScience and TechnologySunshine Coast,Moreton Bay1 yearfull time or equivalent part-timeCareer outcomesEducation, Research, Industry/government, Restoration and conservation, Parks and wildlife, Resource management, Waste and pollution control, Catchment management agencies, Environmental consultant, Wildlife management and conservation organisations, Environmental monitoring and managementBachelor ofScienceSunshine Coast,Moreton Bay3 yearsfull time or equivalent part-timeCareer outcomesEducation, Research, Industry/governmentBachelor ofEngineering (Civil) (Honours)  / Environmental ScienceSunshine Coast,Moreton Bay5 yearsfull time or equivalent part-timeCareer outcomesGovernment agencies, Construction companies, Engineering consultancies, Building industry, Water supply authorities, Mining industry, Research organisations, Parks and wildlife, Resource management, Environmental consultanciesMaster ofScienceSunshine Coast,Fraser Coast,Gympie,Caboolture,Moreton Bay2 yearsfull time or equivalent part-timeCareer outcomesProject manager, Management Analyst, Consultant, Operations manager, Human resources manager, Sports manager, Entertainment manager, Industrial production manager",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bachelor ofBusiness  / Creative Industries,50.00,4 years,4 years,"A$14,486 - 2025 Fees",017111,Semester 1,N/A,{{ vm.location }}Sunshine CoastMoreton BayOnline,4 years4 yearsFull-time or equivalent part-timeOnly a full-time option is available to international students on a Student visa.  Online programs are not available to Student visa holders.,"A$14,486 - 2025 FeesCSP","A$14,486 - 2025 FeesCSP",017111014111015043,Semester 1Semester 2Semester 1Semester 2Semester 1Semester 2,"Diploma inBusinessMoreton Bay,Sunshine Coast,Online1 yearfull time or equivalent part-timeCareer outcomesBusiness administration, Digital futures, Economics and finance, Human resource management, Marketing, Small business management, Tourism, Leisure and Event managementBachelor ofBusinessSunshine Coast,Moreton Bay,Online3 yearsfull time or equivalent part-timeCareer outcomesAcademia, Government positions, Corporate positions, Consultancy, Business management, Human resource management, Marketing management, Market research, International business, Computing, Systems analysisBachelor ofArts  / BusinessSunshine Coast,Moreton Bay,Online4 yearsfull time or equivalent part-timeCareer outcomesBusiness manager, Entrepreneur, Marketing coordinator, Communications professional, Researcher, Editor, Sociologist, Geographer, Historian, Policy officer, WriterMaster ofCreative ArtsSunshine Coast,Fraser Coast,Gympie,Caboolture,Moreton Bay2 yearsfull time or equivalent part-timeCareer outcomesCreative writing, Art and digital design, Interactive technologies and gamesBachelor ofCreative IndustriesSunshine Coast,Moreton Bay,Online3 yearsfull time or equivalent part-timeCareer outcomesCreative entrepreneur, Performance creator, Screen media professional, Writer/publisher, Creative director, Music industry professional, Theatre practitioner/actor, Entertainment industry professional",,,0101332,50.0050.0050.00ATAR/Rank,,,,,,,,,,,,,,,,,,,,,,,,,,
Diploma inSocial and Human Services,N/A,1 year,1 year,"A$16,032 - 2025 Fees",015181,Semester 1,N/A,{{ vm.location }}Sunshine CoastMoreton BayFraser CoastGympieCaboolture,1 year1 yearFull-time or equivalent part-timeOnly a full-time option is available to international students on a Student visa.  Online programs are not available to Student visa holders.,"A$16,032 - 2025 FeesCSP","A$16,032 - 2025 FeesCSP",015181014181019181016181018683,Semester 1Semester 2Semester 1Semester 2Semester 1Semester 2Semester 1Semester 2Semester 1Semester 2,"Undergraduate Certificate inCommunity ServicesSunshine Coast,Moreton Bay6 monthsfull time or equivalent part-timeCareer outcomesSocial services, Human services, Counselling, Social Work, Criminology and JusticeDiploma inSocial ScienceSunshine Coast1 yearfull time or equivalent part-timeBachelor ofCounsellingSunshine Coast,Moreton Bay3 yearsfull time or equivalent part-timeCareer outcomesCounsellor, Aged services, Child protection, Addiction Services, Disability services, Families and groups, Mental health, Range of human servicesMaster ofCounsellingSunshine Coast2 yearsfull time or equivalent part-timeCareer outcomesCounsellor, Researcher, Private practice, Health, Human services",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bachelor ofDietetics (Honours),70.00,4 years,4 years,"A$10,272 - 2025 Fees",013123,Semester 1,N/A,{{ vm.location }}Sunshine Coast,4 years4 yearsFull-time or equivalent part-timeOnly a full-time option is available to international students on a Student visa.  Online programs are not available to Student visa holders.,"A$10,272 - 2025 FeesCSP","A$10,272 - 2025 FeesCSP",013123,Semester 1,"Undergraduate Certificate inNutritionSunshine Coast1 yearfull time or equivalent part-timeCareer outcomesWith further study – Clinical dietetics, Sports nutrition, Food industry, Public health nutrition, Private practiceDiploma inAllied Health AssistanceSunshine Coast,Fraser Coast,Caboolture1 yearfull time or equivalent part-timeCareer outcomesAllied health assistants working under supervison of allied health professionals, Support day-to-day running of practiceBachelor ofNutritionSunshine Coast,Moreton Bay3 yearsfull time or equivalent part-timeCareer outcomesFood service and menu support, Community nutrition, Nutrition policy development, Public health nutrition, Health promotion, Nutrition journalism, Nutrition marketing and support for food industry, Corporate nutritionist, Researcher, Sport and exercise nutrition, Public relationsMaster ofHealth PromotionOnline2 yearsfull time or equivalent part-timeCareer outcomesPractitioner, Researcher, Academic, Consultant, Policy officer, Social advocate, Project worker, Project manager, Educator in international, national, state and local level government and non-government organisations, Community organisations, Professional associations, Private industry, Tertiary institutions",,,,70.00ATAR/Rank,,,,,,,,,,,,,,,,,,,,,,,,,,
Diploma inBusiness Innovation,N/A,1 year,1 year,"A$16,032 - 2025 Fees",015081,Semester 1,N/A,{{ vm.location }}Sunshine CoastMoreton BayOnlineCaboolture,1 year1 yearFull-time or equivalent part-timeOnly a full-time option is available to international students on a Student visa.  Online programs are not available to Student visa holders.,"A$16,032 - 2025 FeesCSP","A$16,032 - 2025 FeesCSP",015081014081015281018681,Semester 1Semester 2Semester 1Semester 2Semester 1Semester 2Semester 1Semester 2,"Undergraduate Certificate inDigital BusinessMoreton Bay,Online6 monthsfull time or equivalent part-timeCareer outcomesDigital specialist, Social media manager, Website developer, Digital business managerDiploma inBusinessMoreton Bay,Sunshine Coast,Online1 yearfull time or equivalent part-timeCareer outcomesBusiness administration, Digital futures, Economics and finance, Human resource management, Marketing, Small business management, Tourism, Leisure and Event managementBachelor ofBusinessSunshine Coast,Moreton Bay,Online3 yearsfull time or equivalent part-timeCareer outcomesAcademia, Government positions, Corporate positions, Consultancy, Business management, Human resource management, Marketing management, Market research, International business, Computing, Systems analysisBachelor ofBusiness  / CommunicationSunshine Coast,Moreton Bay,Online4 yearsfull time or equivalent part-timeCareer outcomesSocial media manager, Advertising executive, Content strategist, Creative director, Public relations officer, Copywriter, Marketing coordinator, Corporate communications office, Entrepreneur, Innovation manager",,,109234K,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diploma inEducation Studies (Early Childhood),60.00,1 year,1 year,"A$4,624 - 2025 Fees",015631 ^,Semester 1,N/A,{{ vm.location }}Online,1 year1 yearFull-time or equivalent part-timeOnly a full-time option is available to international students on a Student visa.  Online programs are not available to Student visa holders.,"A$4,624 - 2025 FeesCSP","A$4,624 - 2025 FeesCSP",015631 ^,Semester 1,"Undergraduate Certificate inEducation (Early Childhood)Sunshine Coast,Online6 monthsfull time or equivalent part-timeCareer outcomesChildcare, Long day care, Youth support workerDiploma inEducation Studies (Primary)Online,Fraser Coast1 yearfull time or equivalent part-timeCareer outcomesTeacher aide, Teacher educator, Learning support, Outside school hours careBachelor ofEducation (Early Childhood)Sunshine Coast4 yearsfull time or equivalent part-timeCareer outcomesEarly Childhood teacher, Primary school teacher, Early Childhood centre leader/director, Tutor, Education consultant, Youth support, Children's advocateBachelor ofEducation (Secondary)  / Recreation and Outdoor Environmental StudiesSunshine Coast,Moreton Bay4 yearsfull time or equivalent part-timeCareer outcomesTeacher in secondary schools, Outdoor leader, Outdoor guide, Sports coach, Outdoor recreation officer, Environmental interpretation guide, Adventure tourism guide, Ecotourism guideMaster ofEducationSunshine Coast,Online3 yearsfull time or equivalent part-timeCareer outcomesHead of Department, School or program leader, Academic, Education advisor",,,,60.00ATAR/Rank,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,"An undergraduate degree is your first degree in a particular subject. This is usually a bachelor’s degree (generally three years) or a bachelor’s degree withhonours(generally four years).UniSC also offers a wide range of single ordoublebachelor degrees.Some UniSC degrees (also called ‘programs’) offer a graduate entry option. If you’ve already completed an undergraduate degree, and want to do another one in a different field, you can often fast-track completion of your next program.UniSC programs include a strong focus on the core skills you’ll need in the future workplace. No matter what you study, you’ll learn to communicate well, solve problems and think creatively. All programs include hands-on training, practical experience, and internships.","A double degree lets you combine knowledge and skills from two different fields. If you’re a little bit more ambitious, UniSC offers a range of career-focused double degrees that will broaden your horizons and make your career options twice as bright.You can study two related fields, or combine a professional qualification with an industry you are interested in (like business and science, or law and environmental management). You can also use your second degree to study something you love, like creative writing.A double degree usually involves the same workload and number of courses per semester as a single degree. You complete the core courses from each degree, but study fewer electives, which saves time and fees.With just one extra year of study, you’ll graduate with two qualifications and more flexibility in your chosen career.","An honours degree is a higher qualification than a bachelor’s degree. Honours is a great way to deepen your knowledge in a particular area and build advanced research, writing and critical thinking skills.There are different kinds of honours programs.End-on honours programsThese programs involve one extra year of study, in addition to your bachelor degree. You can apply for a one-year honours program after you have completed a bachelor degree in the same discipline.During your honours year, you work one-on-one with a UniSC academic, who is known as your supervisor. They help you design a research project and write a thesis on a topic you’re passionate about.Embedded honours programsSome four-year bachelor programs include an honours qualification. If you study one of these programs, you will automatically graduate with honours.Other programs, like UniSC’s Bachelor of Laws and Bachelor of Nutrition and Dietetics, don’t require an extra year of study, but let you choose an honours ‘pathway’ in your third or fourth year depending on your level of achievement.",Associate degrees (generally two years) give a broad introduction to a field of interest and can lead to further study.Associate Degree in BusinessAssociate Degree in Science,Diplomas (generally one year) give a broad introduction to a field of interest and can lead to further study.,,,,,,,,,,,,,,,
Diploma inEducation Studies (Primary),60.00,1 year,1 year,"A$4,624 - 2025 Fees",015731 ^,Semester 1,N/A,{{ vm.location }}OnlineFraser Coast,1 year1 yearFull-time or equivalent part-timeOnly a full-time option is available to international students on a Student visa.  Online programs are not available to Student visa holders.,"A$4,624 - 2025 FeesCSP","A$4,624 - 2025 FeesCSP",015731 ^019902,Semester 1Semester 1,"Undergraduate Certificate inEducation (Primary)Sunshine Coast,Moreton Bay,Fraser Coast6 monthsfull time or equivalent part-timeCareer outcomesChildcare, Long day care, Learning support, Outside school hours careDiploma inEducation Studies (Early Childhood)Online1 yearfull time or equivalent part-timeCareer outcomesChildcare, Long day care, Family day care coordinatorBachelor ofPrimary EducationSunshine Coast,Fraser Coast,Moreton Bay4 yearsfull time or equivalent part-timeCareer outcomesPrimary school teacher, Private practice tutor, Education consultant, Education policy analyst, Youth support worker, Children's television presenterBachelor ofEducation (Secondary)  / Recreation and Outdoor Environmental StudiesSunshine Coast,Moreton Bay4 yearsfull time or equivalent part-timeCareer outcomesTeacher in secondary schools, Outdoor leader, Outdoor guide, Sports coach, Outdoor recreation officer, Environmental interpretation guide, Adventure tourism guide, Ecotourism guideMaster ofEducationSunshine Coast,Online3 yearsfull time or equivalent part-timeCareer outcomesHead of Department, School or program leader, Academic, Education advisor",,,,60.0060.00ATAR/Rank,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,Engineering at UniSC,,,,,,,,,,,,,,,,,,,,,"At UniSC we make things happen through innovative projects and partnershipsEngineering is exciting because it combines science, math and creative thinking. Learn to question established ways of doing things and spark new, forward-thinking ideas. With innovative projects and partnerships for our students to work on, and state-of-the-art facilities to help you put your skills into practise throughout your studies, it's no wonder 95% of our engineering graduates are employed within four months* of finishing their degree.And, did we mention we've maintained a five-star rating for teaching quality*, for 18 consecutive years?*Quality Indicators for Learning and Teaching (QILT) Graduate Outcomes Survey 2022*Good Universities Guide 2023/24",,,,,,,
Bachelor ofArts  / Business,50.00,4 years,4 years,"A$14,486 - 2025 Fees",016001,Semester 1,N/A,{{ vm.location }}Sunshine CoastMoreton BayOnline,4 years4 yearsFull-time or equivalent part-timeOnly a full-time option is available to international students on a Student visa.  Online programs are not available to Student visa holders.,"A$14,486 - 2025 FeesCSP","A$14,486 - 2025 FeesCSP",016001014411015036,Semester 1Semester 2Semester 1Semester 2Semester 1Semester 2,"Diploma inBusinessMoreton Bay,Sunshine Coast,Online1 yearfull time or equivalent part-timeCareer outcomesBusiness administration, Digital futures, Economics and finance, Human resource management, Marketing, Small business management, Tourism, Leisure and Event managementBachelor ofBusinessSunshine Coast,Moreton Bay,Online3 yearsfull time or equivalent part-timeCareer outcomesAcademia, Government positions, Corporate positions, Consultancy, Business management, Human resource management, Marketing management, Market research, International business, Computing, Systems analysisBachelor ofBusiness  / Creative IndustriesSunshine Coast,Moreton Bay,Online4 yearsfull time or equivalent part-timeCareer outcomesBusiness manager, Entrepreneur, Marketing coordinator, HR manager, Innovation manager, Communications professional, Market researcher, Writer/publisher, Creative director, Advertising executive, International business, Tourism and hospitality managerMaster ofArtsSunshine Coast,Fraser Coast,Gympie,Caboolture,Moreton Bay2 yearsfull time or equivalent part-timeCareer outcomesCommunication and media studies, Creative arts, Mental health and wellbeing, Society and culture, Environment and sustainability, Management and business, LawBachelor ofArtsSunshine Coast,Moreton Bay,Online3 yearsfull time or equivalent part-timeCareer outcomesResearcher, Publisher, Editor, Sociologist, Geographer, Historian, Policy officer, Government / development professional, Media and communications professional, Writer",,,022805C,50.0050.0050.00ATAR/Rank,,,,,,,,,,,,,,,,,,,,,,,,,,
